jurs_name,cnty_name,mtc_year,mtc_pda,mtc_tpa,co_vlow_income_dr,co_vlow_income_ndr,co_low_income_dr,co_low_income_ndr,co_mod_income_dr,co_mod_income_ndr,co_above_mod_income,mtc_co_total_units
ALAMEDA COUNTY,ALAMEDA,2018.0,False,False,0.0,0.0,0.0,11.0,0.0,0.0,56.0,67.0
ALAMEDA COUNTY,ALAMEDA,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ALAMEDA COUNTY,ALAMEDA,2019.0,False,False,0.0,0.0,0.0,16.0,0.0,0.0,64.0,80.0
ALAMEDA COUNTY,ALAMEDA,2019.0,False,True,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
ALAMEDA COUNTY,ALAMEDA,2019.0,True,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ALAMEDA COUNTY,ALAMEDA,2019.0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ALBANY,ALAMEDA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ALBANY,ALAMEDA,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ALBANY,ALAMEDA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
ALBANY,ALAMEDA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
AMERICAN CANYON,NAPA,2019.0,False,False,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
AMERICAN CANYON,NAPA,2019.0,True,False,49.0,0.0,20.0,0.0,0.0,0.0,1.0,70.0
ANTIOCH,CONTRA COSTA,2018.0,False,False,85.0,0.0,0.0,1.0,0.0,0.0,49.0,135.0
ANTIOCH,CONTRA COSTA,2019.0,False,False,0.0,0.0,0.0,1.0,0.0,11.0,109.0,121.0
ATHERTON,SAN MATEO,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0
ATHERTON,SAN MATEO,2018.0,False,True,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0
BELMONT,SAN MATEO,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
BELMONT,SAN MATEO,2018.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BELMONT,SAN MATEO,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,7.0,2.0,9.0
BELMONT,SAN MATEO,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
BELMONT,SAN MATEO,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
BERKELEY,ALAMEDA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0
BERKELEY,ALAMEDA,2018.0,False,True,0.0,12.0,0.0,0.0,0.0,0.0,164.0,176.0
BERKELEY,ALAMEDA,2018.0,True,True,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0
BERKELEY,ALAMEDA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0
BERKELEY,ALAMEDA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0
BERKELEY,ALAMEDA,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BRENTWOOD,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,6.0,161.0,167.0
BRENTWOOD,CONTRA COSTA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,6.0,166.0,172.0
BRISBANE,SAN MATEO,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0
BRISBANE,SAN MATEO,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0
BURLINGAME,SAN MATEO,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BURLINGAME,SAN MATEO,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BURLINGAME,SAN MATEO,2018.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BURLINGAME,SAN MATEO,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
BURLINGAME,SAN MATEO,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BURLINGAME,SAN MATEO,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BURLINGAME,SAN MATEO,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CALISTOGA,NAPA,2018.0,False,False,23.0,0.0,7.0,0.0,0.0,2.0,5.0,37.0
CALISTOGA,NAPA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0
CAMPBELL,SANTA CLARA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
CAMPBELL,SANTA CLARA,2018.0,False,True,2.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0
CAMPBELL,SANTA CLARA,2018.0,True,True,7.0,0.0,1.0,0.0,8.0,0.0,184.0,200.0
CAMPBELL,SANTA CLARA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
CAMPBELL,SANTA CLARA,2019.0,False,True,4.0,0.0,0.0,0.0,0.0,0.0,49.0,53.0
CAMPBELL,SANTA CLARA,2019.0,True,True,9.0,0.0,2.0,0.0,10.0,0.0,207.0,228.0
CLOVERDALE,SONOMA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
CLOVERDALE,SONOMA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
CLOVERDALE,SONOMA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0
COLMA,SAN MATEO,2018.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
COLMA,SAN MATEO,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CONCORD,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0
CONCORD,CONTRA COSTA,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
CONCORD,CONTRA COSTA,2018.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
CONCORD,CONTRA COSTA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0
CONCORD,CONTRA COSTA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
CONCORD,CONTRA COSTA,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CONTRA COSTA COUNTY,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0
CONTRA COSTA COUNTY,CONTRA COSTA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CONTRA COSTA COUNTY,CONTRA COSTA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,181.0,181.0
CONTRA COSTA COUNTY,CONTRA COSTA,2019.0,True,False,42.0,0.0,0.0,0.0,0.0,0.0,16.0,58.0
CORTE MADERA,MARIN,2018.0,False,False,0.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0
CORTE MADERA,MARIN,2019.0,False,False,1.0,1.0,1.0,0.0,0.0,3.0,14.0,20.0
COTATI,SONOMA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
COTATI,SONOMA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
COTATI,SONOMA,2019.0,False,False,0.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0
COTATI,SONOMA,2019.0,True,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DALY CITY,SAN MATEO,2018.0,False,False,0.0,0.0,0.0,21.0,0.0,22.0,8.0,51.0
DALY CITY,SAN MATEO,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,1.0,15.0,16.0
DALY CITY,SAN MATEO,2018.0,True,True,0.0,0.0,0.0,6.0,3.0,6.0,44.0,59.0
DALY CITY,SAN MATEO,2019.0,False,False,0.0,0.0,0.0,25.0,0.0,27.0,6.0,58.0
DALY CITY,SAN MATEO,2019.0,False,True,0.0,0.0,0.0,7.0,0.0,6.0,1.0,14.0
DALY CITY,SAN MATEO,2019.0,True,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DALY CITY,SAN MATEO,2019.0,True,True,0.0,0.0,0.0,9.0,0.0,8.0,6.0,23.0
DANVILLE,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,6.0,0.0,7.0,40.0,53.0
DANVILLE,CONTRA COSTA,2019.0,False,False,0.0,0.0,0.0,7.0,0.0,7.0,38.0,52.0
DIXON,SOLANO,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,14.0,26.0,40.0
DIXON,SOLANO,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DUBLIN,ALAMEDA,2018.0,False,False,0.0,0.0,0.0,0.0,11.0,1.0,659.0,671.0
DUBLIN,ALAMEDA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,128.0,128.0
DUBLIN,ALAMEDA,2018.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,221.0,221.0
DUBLIN,ALAMEDA,2019.0,False,False,0.0,0.0,0.0,0.0,18.0,0.0,359.0,377.0
DUBLIN,ALAMEDA,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0
DUBLIN,ALAMEDA,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0
EL CERRITO,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
EL CERRITO,CONTRA COSTA,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EL CERRITO,CONTRA COSTA,2018.0,True,True,0.0,0.0,5.0,0.0,10.0,0.0,65.0,80.0
EL CERRITO,CONTRA COSTA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
EL CERRITO,CONTRA COSTA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
EL CERRITO,CONTRA COSTA,2019.0,True,False,62.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0
EMERYVILLE,ALAMEDA,2018.0,True,True,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
EMERYVILLE,ALAMEDA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EMERYVILLE,ALAMEDA,2019.0,True,True,46.0,0.0,22.0,0.0,9.0,0.0,109.0,186.0
FAIRFAX,MARIN,2018.0,False,False,0.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0
FAIRFAX,MARIN,2019.0,False,False,0.0,0.0,0.0,5.0,0.0,2.0,1.0,8.0
FAIRFIELD,SOLANO,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,241.0,241.0
FAIRFIELD,SOLANO,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,1.0,348.0,349.0
FAIRFIELD,SOLANO,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
FOSTER CITY,SAN MATEO,2018.0,False,False,8.0,1.0,31.0,0.0,9.0,0.0,172.0,221.0
FOSTER CITY,SAN MATEO,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
FREMONT,ALAMEDA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,249.0,249.0
FREMONT,ALAMEDA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0
FREMONT,ALAMEDA,2018.0,True,True,0.0,0.0,0.0,0.0,1.0,0.0,106.0,107.0
FREMONT,ALAMEDA,2019.0,False,False,35.0,0.0,44.0,0.0,0.0,0.0,182.0,261.0
FREMONT,ALAMEDA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FREMONT,ALAMEDA,2019.0,True,False,89.0,0.0,0.0,0.0,0.0,0.0,159.0,248.0
FREMONT,ALAMEDA,2019.0,True,True,1.0,0.0,6.0,0.0,4.0,0.0,375.0,386.0
GILROY,SANTA CLARA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,5.0,114.0,119.0
GILROY,SANTA CLARA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
HALF MOON BAY,SAN MATEO,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,4.0,31.0,35.0
HALF MOON BAY,SAN MATEO,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,6.0,13.0,19.0
HAYWARD,ALAMEDA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0
HAYWARD,ALAMEDA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0
