agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
3D,Tri Delta Transit,http://trideltatransit.com,America/Los_Angeles,en,(925) 754-4040,,
AC,AC Transit,http://www.actransit.org,America/Los_Angeles,en,(510)891-4777,,
AM,Capitol Corridor Joint Powers Authority,http://www.capitolcorridor.org,America/Los_Angeles,en,877-974-3322,,
BA,Bay Area Rapid Transit,http://www.bart.gov,America/Los_Angeles,en,,,
CC,County Connection,http://www.countyconnection.com/,America/Los_Angeles,en,925-676-7500,,
CE,Altamont Corridor Express,http://www.acerail.com/,America/Los_Angeles,en,8004117245,,
CM,Commute.org Shuttles,http://www.commute.org,America/Los_Angeles,en,(650) 588-1600,,
CT,Caltrain,http://www.caltrain.com,America/Los_Angeles,en,800-660-4287,,
DE,Dumbarton Express Consortium,https://dumbartonexpress.com,America/Los_Angeles,en,(510)891-4777,,
EM,Emery Go-Round,http://www.emerygoround.com/,America/Los_Angeles,en,(510) 451-3862,,
FS,Fairfield and Suisun Transit,http://www.fasttransit.org/,America/Los_Angeles,en,707-422-2877,http://www.fasttransit.org/fares-passes/,
GF,Golden Gate Ferry,http://www.goldengate.org,America/Los_Angeles,en,(415) 455-2000),http://www.goldengateferry.org/fareprograms/,
GG,Golden Gate Transit,http://www.goldengate.org,America/Los_Angeles,en,(415) 455-2000),http://www.goldengatetransit.org/fareprograms/,
MA,Marin Transit,http://marintransit.org,America/Los_Angeles,en,415-455-2000,https://marintransit.org/fares,
MS,Stanford Marguerite Shuttle,https://transportation.stanford.edu/marguerite,America/Los_Angeles,en,650-723-9362,,
PE,Petaluma Transit,http://cityofpetaluma.net/pubworks/transit-sub.html,America/Los_Angeles,en,(707)778-4303,http://cityofpetaluma.net/pubworks/fares-transfers.html,
RV,Rio Vista Delta Breeze,http://riovistacity.com/delta-breeze-transit-system/,America/Los_Angeles,en,(707) 374-2878,http://riovistacity.com/fares/,
SA,Sonoma Marin Area Rail Transit,http://www.SonomaMarinTrain.org,America/Los_Angeles,en,(707)794-3330,,info@sonomamarintrain.org
SB,San Francisco Bay Ferry,http://www.sanfranciscobayferry.com,America/Los_Angeles,en,4157058291,https://sanfranciscobayferry.com/fares-and-tickets,
SC,VTA,http://www.vta.org,America/Los_Angeles,en,408-321-2300,,
SF,San Francisco Municipal Transportation Agency,https://SFMTA.com,America/Los_Angeles,en,,,
SM,SamTrans,http://www.samtrans.com,America/Los_Angeles,en,800-660-4287,,
SO,Sonoma County Transit,http://www.sctransit.com/?referrer=gtfs,America/Los_Angeles,en,(707) 576-7433,http://sctransit.com/fares/?referrer=gtfs,
SR,Santa Rosa CityBus,https://srcity.org/1036/Transit-and-CityBus,America/Los_Angeles,en,707-543-3333,https://srcity.org/1658/Fares,support@availtec.com
ST,SolTrans,http://www.soltransride.com,America/Vancouver,en,(707) 648-4666,http://www.soltransride.com/fares/fares,
TD,Tideline Marine Group Inc,http://tidelinetickets.com,America/Los_Angeles,en,4153390196,,captaintaylorlewis@gmail.com
UC,Union City Transit,http://www.uctransit.org,America/Los_Angeles,en,510-471-1411,,transit@unioncity.org
VC,Vacaville City Coach,http://www.citycoach.com/,America/Los_Angeles,en,707-449-6000,http://www.citycoach.com/fares/,
VN,Napa,http://www.ridethevine.com/vine,America/Los_Angeles,en,707-251-2800,,info@nvta.ca.gov
WC,WestCat (Western Contra Costa),http://www.westcat.org/,America/Los_Angeles,en,510-724-7993,http://www.westcat.org/fares/index.html,
WH,Livermore Amador Valley Transit Authority,http://wheelsbus.com/,America/Los_Angeles,en,925-455-7500,http://www.wheelsbus.com/fares/,
